city_id	city_name	population
hokkaido_178	夕張市	9362
hokkaido_102	岩見沢市	85442
hokkaido_001	美唄市	23783
hokkaido_066	芦別市	15244
hokkaido_177	赤平市	11270
hokkaido_061	三笠市	9391
hokkaido_010	滝川市	41577
hokkaido_173	砂川市	17972
hokkaido_051	歌志内市	3783
hokkaido_033	深川市	22094
hokkaido_030	南幌町	8051
hokkaido_132	奈井江町	5795
hokkaido_137	上砂川町	3464
hokkaido_101	由仁町	5590
hokkaido_062	長沼町	11439
hokkaido_182	栗山町	12561
hokkaido_078	月形町	3536
hokkaido_027	浦臼町	2070
hokkaido_110	新十津川町	6897
hokkaido_188	妹背牛町	3218
hokkaido_064	秩父別町	2578
hokkaido_104	雨竜町	2664
hokkaido_039	北竜町	2021
hokkaido_018	沼田町	3285
hokkaido_126	中央区	227478
hokkaido_169	北区	281855
hokkaido_015	東区	258376
hokkaido_040	白石区	210141
hokkaido_091	豊平区	217981
hokkaido_044	南区	141025
hokkaido_045	西区	212288
hokkaido_121	厚別区	129430
hokkaido_065	手稲区	140992
hokkaido_151	清田区	115109
hokkaido_138	江別市	119626
hokkaido_086	千歳市	95222
hokkaido_155	恵庭市	68900
hokkaido_115	北広島市	59519
hokkaido_174	石狩市	59275
hokkaido_035	当別町	17137
hokkaido_023	新篠津村	3298
hokkaido_187	小樽市	124126
hokkaido_106	島牧村	1606
hokkaido_146	寿都町	3207
hokkaido_057	黒松内町	3032
hokkaido_159	蘭越町	4981
hokkaido_046	ニセコ町	4929
hokkaido_100	真狩村	2136
hokkaido_019	留寿都村	1866
hokkaido_098	喜茂別町	2378
hokkaido_058	京極町	3186
hokkaido_084	倶知安町	15628
hokkaido_162	共和町	6258
hokkaido_093	岩内町	13586
hokkaido_048	泊村	1751
hokkaido_025	神恵内村	942
hokkaido_031	積丹町	2303
hokkaido_136	古平町	3399
hokkaido_145	仁木町	3492
hokkaido_161	余市町	20026
hokkaido_089	赤井川村	1137
hokkaido_150	室蘭市	89058
hokkaido_055	苫小牧市	173475
hokkaido_037	登別市	50252
hokkaido_082	伊達市	35617
hokkaido_050	豊浦町	4305
hokkaido_166	壮瞥町	2676
hokkaido_008	白老町	18238
hokkaido_097	厚真町	4708
hokkaido_028	洞爺湖町	9455
hokkaido_125	安平町	8544
hokkaido_116	むかわ町	8929
hokkaido_114	日高町	12822
hokkaido_153	平取町	5436
hokkaido_085	新冠町	5708
hokkaido_147	浦河町	13160
hokkaido_013	様似町	4675
hokkaido_180	えりも町	5082
hokkaido_017	新ひだか町	23999
hokkaido_054	函館市	269675
hokkaido_167	北斗市	47763
hokkaido_080	松前町	8167
hokkaido_087	福島町	4617
hokkaido_092	知内町	4709
hokkaido_026	木古内町	4645
hokkaido_024	七飯町	28640
hokkaido_094	鹿部町	4182
hokkaido_060	森町	16800
hokkaido_109	八雲町	17669
hokkaido_103	長万部町	5674
hokkaido_083	江差町	8335
hokkaido_133	上ノ国町	5385
hokkaido_168	厚沢部町	4228
hokkaido_029	乙部町	4010
hokkaido_128	奥尻町	2881
hokkaido_077	今金町	5642
hokkaido_148	せたな町	8750
hokkaido_049	旭川市	345910
hokkaido_140	士別市	20503
hokkaido_113	名寄市	28725
hokkaido_129	富良野市	23091
hokkaido_130	鷹栖町	7259
hokkaido_164	東神楽町	10269
hokkaido_124	当麻町	6790
hokkaido_000	比布町	3924
hokkaido_067	愛別町	3090
hokkaido_011	上川町	3969
hokkaido_076	東川町	7967
hokkaido_163	美瑛町	10520
hokkaido_118	上富良野町	11161
hokkaido_004	中富良野町	5227
hokkaido_069	南富良野町	2631
hokkaido_175	占冠村	1193
hokkaido_079	和寒町	3664
hokkaido_184	剣淵町	3336
hokkaido_099	下川町	3465
hokkaido_032	美深町	4682
hokkaido_014	音威子府村	752
hokkaido_041	中川町	1692
hokkaido_112	幌加内町	1575
hokkaido_005	留萌市	22740
hokkaido_012	増毛町	4822
hokkaido_181	小平町	3366
hokkaido_081	苫前町	3375
hokkaido_068	羽幌町	7491
hokkaido_074	初山別村	1275
hokkaido_143	遠別町	2865
hokkaido_176	天塩町	3270
hokkaido_160	稚内市	36482
hokkaido_144	猿払村	2792
hokkaido_185	浜頓別町	3899
hokkaido_088	中頓別町	1838
hokkaido_063	枝幸町	8631
hokkaido_002	豊富町	4140
hokkaido_135	礼文町	2706
hokkaido_020	利尻町	2210
hokkaido_131	利尻富士町	2746
hokkaido_123	幌延町	2466
hokkaido_059	北見市	121303
hokkaido_120	網走市	37400
hokkaido_071	紋別市	23550
hokkaido_047	美幌町	20706
hokkaido_056	津別町	5190
hokkaido_142	斜里町	12086
hokkaido_186	清里町	4369
hokkaido_007	小清水町	5183
hokkaido_022	訓子府町	5298
hokkaido_053	置戸町	3101
hokkaido_038	佐呂間町	5565
hokkaido_154	遠軽町	21182
hokkaido_172	湧別町	9492
hokkaido_036	滝上町	2823
hokkaido_183	興部町	4065
hokkaido_052	西興部村	1141
hokkaido_171	雄武町	4665
hokkaido_042	大空町	7631
hokkaido_139	帯広市	168120
hokkaido_021	音更町	45382
hokkaido_107	士幌町	6361
hokkaido_095	上士幌町	4918
hokkaido_090	鹿追町	5562
hokkaido_034	新得町	6396
hokkaido_152	清水町	9851
hokkaido_149	芽室町	19068
hokkaido_111	中札内村	4013
hokkaido_108	更別村	3312
hokkaido_158	大樹町	5778
hokkaido_157	広尾町	7356
hokkaido_070	幕別町	27596
hokkaido_096	池田町	7206
hokkaido_141	豊頃町	3348
hokkaido_105	本別町	7590
hokkaido_117	足寄町	7279
hokkaido_009	陸別町	2588
hokkaido_127	浦幌町	5198
hokkaido_073	釧路市	177104
hokkaido_189	釧路町	20183
hokkaido_134	厚岸町	10100
hokkaido_075	浜中町	6228
hokkaido_072	標茶町	7966
hokkaido_165	弟子屈町	7824
hokkaido_006	鶴居村	2513
hokkaido_043	白糠町	8555
hokkaido_016	根室市	27823
hokkaido_119	別海町	15790
hokkaido_170	中標津町	24034
hokkaido_156	標津町	5432
hokkaido_179	羅臼町	5576
